domain,key,context,locale,source_text,expected_text,human_reviewed,text
project,field.comment.label,,zh_Hans_CN,Comment,评论,0,评论
project,field.company.explanation,,zh_Hans_CN,"Enter the company name or short name",输入公司名称或缩写名称,0,输入公司名称或缩写名称
project,field.company.label,,zh_Hans_CN,"Related company",相关公司,0,相关公司
project,field.name.explanation,,zh_Hans_CN,"Enter the project name",输入项目名称,0,输入项目名称
project,field.name.label,,zh_Hans_CN,"Project name",项目名称,0,项目名称
project,field.state.explanation,,zh_Hans_CN,"Select the project status",选择项目状态,0,选择项目状态
project,field.state.label,,zh_Hans_CN,Status,状态,0,状态
project,form.name,,zh_Hans_CN,Project,项目,0,项目
project,form.title_create,,zh_Hans_CN,"New project",新项目,0,新项目
project,form.title_edit,,zh_Hans_CN,"Edit project",编辑项目,0,编辑项目
project,list.open_tickets,,zh_Hans_CN,"Open tickets",开放工单,0,开放工单
project,list.ticket_tags,,zh_Hans_CN,"Ticket tags",工单标签,0,工单标签
project,list.title,,zh_Hans_CN,Projects,项目,0,项目
project,list.total_tickets,,zh_Hans_CN,"Total tickets",工单总数,0,工单总数
project,saved,,zh_Hans_CN,"Project saved",项目已保存,0,项目已保存
project,state.field.name.explanation,,zh_Hans_CN,"Enter the project status name",输入项目状态名称,0,输入项目状态名称
project,state.field.name.label,,zh_Hans_CN,"Status name",状态名称,0,状态名称
project,state.form.name,,zh_Hans_CN,"Project status",项目状态,0,项目状态
project,state.form.title_create,,zh_Hans_CN,"New project status",新项目状态,0,新项目状态
project,state.form.title_edit,,zh_Hans_CN,"Edit project status",编辑项目状态,0,编辑项目状态
project,state.saved,,zh_Hans_CN,"Status saved",状态已保存,0,状态已保存
project,state.validation.name_max_length,,zh_Hans_CN,"Status name must not exceed 64 characters","状态名称不得超过 64 个字符",0,"状态名称不得超过 64 个字符"
project,updated,,zh_Hans_CN,"Project updated",项目已更新,0,项目已更新
project,validation.name_max_length,,zh_Hans_CN,"Project name must not exceed 255 characters","项目名称不得超过 255 个字符",0,"项目名称不得超过 255 个字符"
project,validation.state_required,,zh_Hans_CN,"Select the project status",选择项目状态,0,选择项目状态
