domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,en_US,"Error: Unable to save post","Error: Unable to save post",0,"Error: Unable to save post"
blog,field.body.explanation,,en_US,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","Format text freely, add images, and embed external content. Use HTML view for embed codes.",0,"Format text freely, add images, and embed external content. Use HTML view for embed codes."
blog,field.body.label,,en_US,Content,Content,0,Content
blog,field.date.explanation,,en_US,"Visible from this date. Determines sort order in the blog list.","Visible from this date. Determines sort order in the blog list.",0,"Visible from this date. Determines sort order in the blog list."
blog,field.date.label,,en_US,"Publish date","Publish date",0,"Publish date"
blog,field.description.explanation,,en_US,"Appears in the blog post list.","Appears in the blog post list.",0,"Appears in the blog post list."
blog,field.description.label,,en_US,"Short description","Short description",0,"Short description"
blog,field.slug.explanation,,en_US,"Lowercase letters, numbers, and hyphens only. Must be unique.","Lowercase letters, numbers, and hyphens only. Must be unique.",0,"Lowercase letters, numbers, and hyphens only. Must be unique."
blog,field.slug.label,,en_US,Slug,Slug,0,Slug
blog,field.title.explanation,,en_US,"Unique title for this post","Unique title for this post",0,"Unique title for this post"
blog,field.title.label,,en_US,Title,Title,0,Title
blog,form.name,,en_US,"Blog post","Blog post",0,"Blog post"
blog,form.title_create,,en_US,"New blog post","New blog post",0,"New blog post"
blog,form.title_edit,,en_US,"Edit blog post","Edit blog post",0,"Edit blog post"
blog,list.new,,en_US,"New post","New post",0,"New post"
blog,list.title,,en_US,"Blog posts","Blog posts",0,"Blog posts"
blog,not_found,,en_US,"Blog post not found","Blog post not found",0,"Blog post not found"
blog,saved,,en_US,"Post saved","Post saved",0,"Post saved"
blog,updated,,en_US,"Post updated","Post updated",0,"Post updated"
blog,validation.slug_format,,en_US,"Slug can only contain lowercase letters, numbers, and hyphens","Slug can only contain lowercase letters, numbers, and hyphens",0,"Slug can only contain lowercase letters, numbers, and hyphens"
