domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,fr_FR,"Are you sure you want to delete the active time entry?","Êtes-vous sûr de vouloir supprimer l'entrée de temps active ?",0,"Êtes-vous sûr de vouloir supprimer l'entrée de temps active ?"
timetracker,control.cancel_title,,fr_FR,"Delete time entry","Supprimer l'entrée de temps",0,"Supprimer l'entrée de temps"
timetracker,control.start,,fr_FR,Start,Début,0,Début
timetracker,control.stop,,fr_FR,Stop,Arrêter,0,Arrêter
timetracker,control.ticket_placeholder,,fr_FR,"Select a ticket or enter a new title","Sélectionnez un ticket ou saisissez un nouveau titre",0,"Sélectionnez un ticket ou saisissez un nouveau titre"
timetracker,control.title,,fr_FR,"What are you working on?","Sur quoi travaillez-vous ?",0,"Sur quoi travaillez-vous ?"
timetracker,delete_confirm,,fr_FR,"Are you sure you want to delete this time entry?","Êtes-vous sûr de vouloir supprimer cette entrée de temps ?",0,"Êtes-vous sûr de vouloir supprimer cette entrée de temps ?"
timetracker,deleted,,fr_FR,"Time entry deleted","Entrée de temps supprimée",0,"Entrée de temps supprimée"
timetracker,duration.hour,,fr_FR,hour,heure,0,heure
timetracker,duration.less_than_one_minute,,fr_FR,"<1 minute","<1 minute",0,"<1 minute"
timetracker,duration.minute,,fr_FR,minute,minute,0,minute
timetracker,error_save,,fr_FR,"Error: Unable to save time entry","Erreur : Impossible d'enregistrer l'entrée de temps",0,"Erreur : Impossible d'enregistrer l'entrée de temps"
timetracker,field.date.explanation,,fr_FR,"Start time in YYYY-MM-DD HH:mm format","Heure de début au format AAAA-MM-JJ HH:mm",0,"Heure de début au format AAAA-MM-JJ HH:mm"
timetracker,field.date.label,,fr_FR,Date,Date,0,Date
timetracker,field.description.explanation,,fr_FR,"Enter a brief description","Saisir une brève description",0,"Saisir une brève description"
timetracker,field.description.label,,fr_FR,Description,Description,0,Description
timetracker,field.hours.explanation,,fr_FR,"End time in YYYY-MM-DD HH:mm format","Heure de fin au format AAAA-MM-JJ HH:mm",0,"Heure de fin au format AAAA-MM-JJ HH:mm"
timetracker,field.hours.label,,fr_FR,Hours,Heures,0,Heures
timetracker,field.ticket_id.label,,fr_FR,"Ticket ID","ID du ticket",0,"ID du ticket"
timetracker,field.ticket.explanation,,fr_FR,"Select a ticket or enter a new name","Sélectionnez un ticket ou saisissez un nouveau nom",0,"Sélectionnez un ticket ou saisissez un nouveau nom"
timetracker,field.ticket.label,,fr_FR,Ticket,Ticket,0,Ticket
timetracker,field.user.explanation,,fr_FR,"Enter the username for this time entry","Saisir le nom d'utilisateur pour cette entrée de temps",0,"Saisir le nom d'utilisateur pour cette entrée de temps"
timetracker,form.name,,fr_FR,"Time entry","Entrée de temps",0,"Entrée de temps"
timetracker,form.title_create,,fr_FR,"New time entry","Nouvelle entrée de temps",0,"Nouvelle entrée de temps"
timetracker,form.title_edit,,fr_FR,"Edit time entry","Modifier l'entrée de temps",0,"Modifier l'entrée de temps"
timetracker,list.duration,,fr_FR,Duration,Durée,0,Durée
timetracker,list.end_time,,fr_FR,End,Fin,0,Fin
timetracker,list.start_time,,fr_FR,Start,Début,0,Début
timetracker,list.title,,fr_FR,"Time tracking","Suivi du temps",0,"Suivi du temps"
timetracker,saved,,fr_FR,"Time entry saved","Entrée de temps enregistrée",0,"Entrée de temps enregistrée"
timetracker,updated,,fr_FR,"Time entry updated","Entrée de temps mise à jour",0,"Entrée de temps mise à jour"
timetracker,validation.description_max_length,,fr_FR,"Description must not exceed 255 characters","La description ne doit pas dépasser 255 caractères",0,"La description ne doit pas dépasser 255 caractères"
timetracker,validation.ticket_max_length,,fr_FR,"Ticket name must not exceed 255 characters","Le nom du ticket ne doit pas dépasser 255 caractères",0,"Le nom du ticket ne doit pas dépasser 255 caractères"
