domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,pt_BR,Company,Empresa,0,Empresa
contact,col.name,,pt_BR,Name,Nome,0,Nome
contact,description.back_to_list,,pt_BR,"Back to contact person list","Voltar à lista de pessoas de contato",0,"Voltar à lista de pessoas de contato"
contact,description.widget_description,,pt_BR,"Contact person datasheet","Ficha da pessoa de contato",0,"Ficha da pessoa de contato"
contact,description.widget_name,,pt_BR,"Contact person datasheet","Ficha da pessoa de contato",0,"Ficha da pessoa de contato"
contact,field.company_id.label,,pt_BR,"Connected company ID","ID da empresa associada",0,"ID da empresa associada"
contact,field.company.explanation,,pt_BR,"Enter the company name (you can also use the short name)","Insira o nome da empresa (você também pode usar o nome abreviado)",0,"Insira o nome da empresa (você também pode usar o nome abreviado)"
contact,field.company.label,,pt_BR,"Connected company","Empresa associada",0,"Empresa associada"
contact,field.company.multiple_error,,pt_BR,"Multiple companies found with that short name, please select one from the list","Várias empresas encontradas com esse nome abreviado, selecione uma da lista",0,"Várias empresas encontradas com esse nome abreviado, selecione uma da lista"
contact,field.company.not_found_error,,pt_BR,"No company found with that name, please select from the list (or add a new company)","Nenhuma empresa encontrada com esse nome, selecione da lista (ou adicione uma nova empresa)",0,"Nenhuma empresa encontrada com esse nome, selecione da lista (ou adicione uma nova empresa)"
contact,field.name.explanation,,pt_BR,"Enter the contact person name","Insira o nome da pessoa de contato",0,"Insira o nome da pessoa de contato"
contact,field.name.label,,pt_BR,"Contact person name","Nome da pessoa de contato",0,"Nome da pessoa de contato"
contact,field.name.unique_error,,pt_BR,"A contact with this name already exists for this company","Já existe um contato com este nome para esta empresa",0,"Já existe um contato com este nome para esta empresa"
contact,form.name,,pt_BR,"Contact person","Pessoa de contato",0,"Pessoa de contato"
contact,form.title_create,,pt_BR,"New contact person","Nova pessoa de contato",0,"Nova pessoa de contato"
contact,form.title_edit,,pt_BR,"Edit contact person","Editar pessoa de contato",0,"Editar pessoa de contato"
contact,list.new,,pt_BR,"New contact person","Nova pessoa de contato",0,"Nova pessoa de contato"
contact,list.title,,pt_BR,"Contact persons","Pessoas de contato",0,"Pessoas de contato"
contact,list.widget_description,,pt_BR,"Contact person list","Lista de pessoas de contato",0,"Lista de pessoas de contato"
contact,list.widget_name,,pt_BR,"Contact person list","Lista de pessoas de contato",0,"Lista de pessoas de contato"
contact,saved,,pt_BR,"Contact saved","Contato salvo",0,"Contato salvo"
contact,unknown,,pt_BR,"Unknown contact","Contato desconhecido",0,"Contato desconhecido"
contact,updated,,pt_BR,"Contact updated","Contato atualizado",0,"Contato atualizado"
