domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,pl_PL,"Error: Unable to save post","Błąd: nie udało się zapisać wpisu",0,"Błąd: nie udało się zapisać wpisu"
blog,field.body.explanation,,pl_PL,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","Formatuj tekst dowolnie, dodawaj obrazy i osadzaj treści zewnętrzne. Kodów osadzania używaj w widoku HTML.",0,"Formatuj tekst dowolnie, dodawaj obrazy i osadzaj treści zewnętrzne. Kodów osadzania używaj w widoku HTML."
blog,field.body.label,,pl_PL,Content,Treść,0,Treść
blog,field.date.explanation,,pl_PL,"Visible from this date. Determines sort order in the blog list.","Widoczne od tej daty. Określa kolejność sortowania na liście bloga.",0,"Widoczne od tej daty. Określa kolejność sortowania na liście bloga."
blog,field.date.label,,pl_PL,"Publish date","Data publikacji",0,"Data publikacji"
blog,field.description.explanation,,pl_PL,"Appears in the blog post list.","Pojawia się na liście wpisów bloga.",0,"Pojawia się na liście wpisów bloga."
blog,field.description.label,,pl_PL,"Short description","Krótki opis",0,"Krótki opis"
blog,field.slug.explanation,,pl_PL,"Lowercase letters, numbers, and hyphens only. Must be unique.","Tylko małe litery, cyfry i myślniki. Musi być unikalne.",0,"Tylko małe litery, cyfry i myślniki. Musi być unikalne."
blog,field.slug.label,,pl_PL,Slug,Slug,0,Slug
blog,field.title.explanation,,pl_PL,"Unique title for this post","Unikalny tytuł tego wpisu",0,"Unikalny tytuł tego wpisu"
blog,field.title.label,,pl_PL,Title,Tytuł,0,Tytuł
blog,form.name,,pl_PL,"Blog post","Wpis blogowy",0,"Wpis blogowy"
blog,form.title_create,,pl_PL,"New blog post","Nowy wpis blogowy",0,"Nowy wpis blogowy"
blog,form.title_edit,,pl_PL,"Edit blog post","Edytuj wpis blogowy",0,"Edytuj wpis blogowy"
blog,list.new,,pl_PL,"New post","Nowy wpis",0,"Nowy wpis"
blog,list.title,,pl_PL,"Blog posts","Wpisy blogowe",0,"Wpisy blogowe"
blog,not_found,,pl_PL,"Blog post not found","Nie znaleziono wpisu blogowego",0,"Nie znaleziono wpisu blogowego"
blog,saved,,pl_PL,"Post saved","Zapisano wpis",0,"Zapisano wpis"
blog,updated,,pl_PL,"Post updated","Zaktualizowano wpis",0,"Zaktualizowano wpis"
blog,validation.slug_format,,pl_PL,"Slug can only contain lowercase letters, numbers, and hyphens","Slug może zawierać tylko małe litery, cyfry i myślniki",0,"Slug może zawierać tylko małe litery, cyfry i myślniki"
