domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,ko_KR,"Ticket #{id}","티켓 #{id}",0,"티켓 #{id}"
ticket,description.id_label,,ko_KR,"Ticket ID","티켓 ID",0,"티켓 ID"
ticket,description.no_assignee,,ko_KR,"No assignee selected","담당자가 선택되지 않음",0,"담당자가 선택되지 않음"
ticket,error.no_id,,ko_KR,"No ID provided","ID가 제공되지 않음",0,"ID가 제공되지 않음"
ticket,error.not_found,,ko_KR,"No such ticket","해당 티켓 없음",0,"해당 티켓 없음"
ticket,field.assignee_id.label,,ko_KR,"Assignee ID","담당자 ID",0,"담당자 ID"
ticket,field.assignee.label,,ko_KR,Assignee,담당자,0,담당자
ticket,field.contactperson_id.label,,ko_KR,"Contact person ID","연락처 ID",0,"연락처 ID"
ticket,field.contactperson.label,,ko_KR,"Contact person",연락처,0,연락처
ticket,field.description.label,,ko_KR,Description,설명,0,설명
ticket,field.end_date.label,,ko_KR,"Closed date","종료 날짜",0,"종료 날짜"
ticket,field.priority.label,,ko_KR,"Ticket priority","티켓 우선순위",0,"티켓 우선순위"
ticket,field.project_id.label,,ko_KR,"Project ID","프로젝트 ID",0,"프로젝트 ID"
ticket,field.project.label,,ko_KR,Project,프로젝트,0,프로젝트
ticket,field.start_date.label,,ko_KR,Date,날짜,0,날짜
ticket,field.state.label,,ko_KR,Status,상태,0,상태
ticket,field.subject.label,,ko_KR,Subject,제목,0,제목
ticket,field.tags.label,,ko_KR,Tags,태그,0,태그
ticket,field.type.label,,ko_KR,"Ticket type","티켓 유형",0,"티켓 유형"
ticket,form.assignee_explanation,,ko_KR,"Enter username of assignee","담당자의 사용자명을 입력하세요",0,"담당자의 사용자명을 입력하세요"
ticket,form.comment_label,,ko_KR,"Comment (will be added as a note)","코멘트 (메모로 추가됩니다)",0,"코멘트 (메모로 추가됩니다)"
ticket,form.contactperson_explanation,,ko_KR,"Enter contact person name","연락처 이름을 입력하세요",0,"연락처 이름을 입력하세요"
ticket,form.end_date_explanation,,ko_KR,"Enter ticket closure date","티켓 종료 날짜를 입력하세요",0,"티켓 종료 날짜를 입력하세요"
ticket,form.name,,ko_KR,Ticket,티켓,0,티켓
