domain,key,context,locale,source_text,expected_text,human_reviewed,text
contact,col.company,,es_ES,Company,Empresa,0,Empresa
contact,col.name,,es_ES,Name,Nombre,0,Nombre
contact,description.back_to_list,,es_ES,"Back to contact person list","Volver a la lista de personas de contacto",0,"Volver a la lista de personas de contacto"
contact,description.widget_description,,es_ES,"Contact person datasheet","Ficha de persona de contacto",0,"Ficha de persona de contacto"
contact,description.widget_name,,es_ES,"Contact person datasheet","Ficha de persona de contacto",0,"Ficha de persona de contacto"
contact,field.company_id.label,,es_ES,"Connected company ID","ID de empresa asociada",0,"ID de empresa asociada"
contact,field.company.explanation,,es_ES,"Enter the company name (you can also use the short name)","Introduzca el nombre de la empresa (también puede usar el nombre abreviado)",0,"Introduzca el nombre de la empresa (también puede usar el nombre abreviado)"
contact,field.company.label,,es_ES,"Connected company","Empresa asociada",0,"Empresa asociada"
contact,field.company.multiple_error,,es_ES,"Multiple companies found with that short name, please select one from the list","Se encontraron varias empresas con ese nombre abreviado, seleccione una de la lista",0,"Se encontraron varias empresas con ese nombre abreviado, seleccione una de la lista"
contact,field.company.not_found_error,,es_ES,"No company found with that name, please select from the list (or add a new company)","No se encontró ninguna empresa con ese nombre, seleccione de la lista (o añada una nueva empresa)",0,"No se encontró ninguna empresa con ese nombre, seleccione de la lista (o añada una nueva empresa)"
contact,field.name.explanation,,es_ES,"Enter the contact person name","Introduzca el nombre de la persona de contacto",0,"Introduzca el nombre de la persona de contacto"
contact,field.name.label,,es_ES,"Contact person name","Nombre de la persona de contacto",0,"Nombre de la persona de contacto"
contact,field.name.unique_error,,es_ES,"A contact with this name already exists for this company","Ya existe un contacto con este nombre para esta empresa",0,"Ya existe un contacto con este nombre para esta empresa"
contact,form.name,,es_ES,"Contact person","Persona de contacto",0,"Persona de contacto"
contact,form.title_create,,es_ES,"New contact person","Nueva persona de contacto",0,"Nueva persona de contacto"
contact,form.title_edit,,es_ES,"Edit contact person","Editar persona de contacto",0,"Editar persona de contacto"
contact,list.new,,es_ES,"New contact person","Nueva persona de contacto",0,"Nueva persona de contacto"
contact,list.title,,es_ES,"Contact persons","Personas de contacto",0,"Personas de contacto"
contact,list.widget_description,,es_ES,"Contact person list","Lista de personas de contacto",0,"Lista de personas de contacto"
contact,list.widget_name,,es_ES,"Contact person list","Lista de personas de contacto",0,"Lista de personas de contacto"
contact,saved,,es_ES,"Contact saved","Contacto guardado",0,"Contacto guardado"
contact,unknown,,es_ES,"Unknown contact","Contacto desconocido",0,"Contacto desconocido"
contact,updated,,es_ES,"Contact updated","Contacto actualizado",0,"Contacto actualizado"
