domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,ko_KR,"Error: Unable to save post","오류: 게시물을 저장할 수 없습니다",0,"오류: 게시물을 저장할 수 없습니다"
blog,field.body.explanation,,ko_KR,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","텍스트를 자유롭게 작성하고 이미지를 추가하거나 외부 콘텐츠를 삽입하세요. 삽입 코드는 HTML 보기를 사용하세요.",0,"텍스트를 자유롭게 작성하고 이미지를 추가하거나 외부 콘텐츠를 삽입하세요. 삽입 코드는 HTML 보기를 사용하세요."
blog,field.body.label,,ko_KR,Content,내용,0,내용
blog,field.date.explanation,,ko_KR,"Visible from this date. Determines sort order in the blog list.","이 날짜부터 표시됩니다. 블로그 목록의 정렬 순서를 결정합니다.",0,"이 날짜부터 표시됩니다. 블로그 목록의 정렬 순서를 결정합니다."
blog,field.date.label,,ko_KR,"Publish date","게시 날짜",0,"게시 날짜"
blog,field.description.explanation,,ko_KR,"Appears in the blog post list.","블로그 게시물 목록에 표시됩니다.",0,"블로그 게시물 목록에 표시됩니다."
blog,field.description.label,,ko_KR,"Short description","짧은 설명",0,"짧은 설명"
blog,field.slug.explanation,,ko_KR,"Lowercase letters, numbers, and hyphens only. Must be unique.","소문자, 숫자, 하이픈만 사용 가능합니다. 고유해야 합니다.",0,"소문자, 숫자, 하이픈만 사용 가능합니다. 고유해야 합니다."
blog,field.slug.label,,ko_KR,Slug,슬러그,0,슬러그
blog,field.title.explanation,,ko_KR,"Unique title for this post","이 게시물의 고유 제목",0,"이 게시물의 고유 제목"
blog,field.title.label,,ko_KR,Title,제목,0,제목
blog,form.name,,ko_KR,"Blog post","블로그 게시물",0,"블로그 게시물"
blog,form.title_create,,ko_KR,"New blog post","새 블로그 게시물",0,"새 블로그 게시물"
blog,form.title_edit,,ko_KR,"Edit blog post","블로그 게시물 편집",0,"블로그 게시물 편집"
blog,list.new,,ko_KR,"New post","새 게시물",0,"새 게시물"
blog,list.title,,ko_KR,"Blog posts","블로그 게시물",0,"블로그 게시물"
blog,not_found,,ko_KR,"Blog post not found","블로그 게시물을 찾을 수 없습니다",0,"블로그 게시물을 찾을 수 없습니다"
blog,saved,,ko_KR,"Post saved","게시물 저장됨",0,"게시물 저장됨"
blog,updated,,ko_KR,"Post updated","게시물 업데이트됨",0,"게시물 업데이트됨"
blog,validation.slug_format,,ko_KR,"Slug can only contain lowercase letters, numbers, and hyphens","슬러그는 소문자, 숫자, 하이픈만 포함할 수 있습니다",0,"슬러그는 소문자, 숫자, 하이픈만 포함할 수 있습니다"
