domain,key,context,locale,source_text,expected_text,human_reviewed,text
ticket,description.heading,,zh_Hans_CN,"Ticket #{id}","工单 #{id}",0,"工单 #{id}"
ticket,description.id_label,,zh_Hans_CN,"Ticket ID","工单 ID",0,"工单 ID"
ticket,description.no_assignee,,zh_Hans_CN,"No assignee selected",未选择负责人,0,未选择负责人
ticket,error.no_id,,zh_Hans_CN,"No ID provided","未提供 ID",0,"未提供 ID"
ticket,error.not_found,,zh_Hans_CN,"No such ticket",工单不存在,0,工单不存在
ticket,field.assignee_id.label,,zh_Hans_CN,"Assignee ID","负责人 ID",0,"负责人 ID"
ticket,field.assignee.label,,zh_Hans_CN,Assignee,负责人,0,负责人
ticket,field.contactperson_id.label,,zh_Hans_CN,"Contact person ID","联系人 ID",0,"联系人 ID"
ticket,field.contactperson.label,,zh_Hans_CN,"Contact person",联系人,0,联系人
ticket,field.description.label,,zh_Hans_CN,Description,描述,0,描述
ticket,field.end_date.label,,zh_Hans_CN,"Closed date",关闭日期,0,关闭日期
ticket,field.priority.label,,zh_Hans_CN,"Ticket priority",工单优先级,0,工单优先级
ticket,field.project_id.label,,zh_Hans_CN,"Project ID","项目 ID",0,"项目 ID"
ticket,field.project.label,,zh_Hans_CN,Project,项目,0,项目
ticket,field.start_date.label,,zh_Hans_CN,Date,日期,0,日期
ticket,field.state.label,,zh_Hans_CN,Status,状态,0,状态
ticket,field.subject.label,,zh_Hans_CN,Subject,主题,0,主题
ticket,field.tags.label,,zh_Hans_CN,Tags,标签,0,标签
ticket,field.type.label,,zh_Hans_CN,"Ticket type",工单类型,0,工单类型
ticket,form.assignee_explanation,,zh_Hans_CN,"Enter username of assignee",输入负责人用户名,0,输入负责人用户名
ticket,form.comment_label,,zh_Hans_CN,"Comment (will be added as a note)",评论（将作为备注添加）,0,评论（将作为备注添加）
ticket,form.contactperson_explanation,,zh_Hans_CN,"Enter contact person name",输入联系人姓名,0,输入联系人姓名
ticket,form.end_date_explanation,,zh_Hans_CN,"Enter ticket closure date",输入工单关闭日期,0,输入工单关闭日期
ticket,form.name,,zh_Hans_CN,Ticket,工单,0,工单
ticket,form.priority_explanation,,zh_Hans_CN,"Select ticket priority",选择工单优先级,0,选择工单优先级
ticket,form.project_explanation,,zh_Hans_CN,"Select project for this ticket",为此工单选择项目,0,为此工单选择项目
ticket,form.start_date_explanation,,zh_Hans_CN,"Enter observation date",输入观察日期,0,输入观察日期
ticket,form.state_explanation,,zh_Hans_CN,"Select ticket status",选择工单状态,0,选择工单状态
