domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,es_ES,"Are you sure you want to delete the active time entry?","¿Está seguro de que desea eliminar el registro de tiempo activo?",0,"¿Está seguro de que desea eliminar el registro de tiempo activo?"
timetracker,control.cancel_title,,es_ES,"Delete time entry","Eliminar registro de tiempo",0,"Eliminar registro de tiempo"
timetracker,control.start,,es_ES,Start,Inicio,0,Inicio
timetracker,control.stop,,es_ES,Stop,Detener,0,Detener
timetracker,control.ticket_placeholder,,es_ES,"Select a ticket or enter a new title","Seleccione un ticket o introduzca un nuevo título",0,"Seleccione un ticket o introduzca un nuevo título"
timetracker,control.title,,es_ES,"What are you working on?","¿En qué está trabajando?",0,"¿En qué está trabajando?"
timetracker,delete_confirm,,es_ES,"Are you sure you want to delete this time entry?","¿Está seguro de que desea eliminar este registro de tiempo?",0,"¿Está seguro de que desea eliminar este registro de tiempo?"
timetracker,deleted,,es_ES,"Time entry deleted","Registro de tiempo eliminado",0,"Registro de tiempo eliminado"
timetracker,duration.hour,,es_ES,hour,hora,0,hora
timetracker,duration.less_than_one_minute,,es_ES,"<1 minute","<1 minuto",0,"<1 minuto"
timetracker,duration.minute,,es_ES,minute,minuto,0,minuto
timetracker,error_save,,es_ES,"Error: Unable to save time entry","Error: No se puede guardar el registro de tiempo",0,"Error: No se puede guardar el registro de tiempo"
timetracker,field.date.explanation,,es_ES,"Start time in YYYY-MM-DD HH:mm format","Hora de inicio en formato AAAA-MM-DD HH:mm",0,"Hora de inicio en formato AAAA-MM-DD HH:mm"
timetracker,field.date.label,,es_ES,Date,Fecha,0,Fecha
timetracker,field.description.explanation,,es_ES,"Enter a brief description","Introduzca una breve descripción",0,"Introduzca una breve descripción"
timetracker,field.description.label,,es_ES,Description,Descripción,0,Descripción
timetracker,field.hours.explanation,,es_ES,"End time in YYYY-MM-DD HH:mm format","Hora de fin en formato AAAA-MM-DD HH:mm",0,"Hora de fin en formato AAAA-MM-DD HH:mm"
timetracker,field.hours.label,,es_ES,Hours,Horas,0,Horas
timetracker,field.ticket_id.label,,es_ES,"Ticket ID","ID del ticket",0,"ID del ticket"
timetracker,field.ticket.explanation,,es_ES,"Select a ticket or enter a new name","Seleccione un ticket o introduzca un nuevo nombre",0,"Seleccione un ticket o introduzca un nuevo nombre"
timetracker,field.ticket.label,,es_ES,Ticket,Ticket,0,Ticket
timetracker,field.user.explanation,,es_ES,"Enter the username for this time entry","Introduzca el nombre de usuario para este registro de tiempo",0,"Introduzca el nombre de usuario para este registro de tiempo"
timetracker,form.name,,es_ES,"Time entry","Registro de tiempo",0,"Registro de tiempo"
timetracker,form.title_create,,es_ES,"New time entry","Nuevo registro de tiempo",0,"Nuevo registro de tiempo"
timetracker,form.title_edit,,es_ES,"Edit time entry","Editar registro de tiempo",0,"Editar registro de tiempo"
timetracker,list.duration,,es_ES,Duration,Duración,0,Duración
timetracker,list.end_time,,es_ES,End,Fin,0,Fin
timetracker,list.start_time,,es_ES,Start,Inicio,0,Inicio
timetracker,list.title,,es_ES,"Time tracking","Seguimiento de tiempo",0,"Seguimiento de tiempo"
timetracker,saved,,es_ES,"Time entry saved","Registro de tiempo guardado",0,"Registro de tiempo guardado"
timetracker,updated,,es_ES,"Time entry updated","Registro de tiempo actualizado",0,"Registro de tiempo actualizado"
timetracker,validation.description_max_length,,es_ES,"Description must not exceed 255 characters","La descripción no debe superar los 255 caracteres",0,"La descripción no debe superar los 255 caracteres"
timetracker,validation.ticket_max_length,,es_ES,"Ticket name must not exceed 255 characters","El nombre del ticket no debe superar los 255 caracteres",0,"El nombre del ticket no debe superar los 255 caracteres"
