domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,ja_JP,"Error: Unable to save post",エラー：記事を保存できません,0,エラー：記事を保存できません
blog,field.body.explanation,,ja_JP,"Format text freely, add images, and embed external content. Use HTML view for embed codes.",テキストを自由にフォーマットし、画像を追加し、外部コンテンツを埋め込めます。埋め込みコードにはHTMLビューを使用してください。,0,テキストを自由にフォーマットし、画像を追加し、外部コンテンツを埋め込めます。埋め込みコードにはHTMLビューを使用してください。
blog,field.body.label,,ja_JP,Content,コンテンツ,0,コンテンツ
blog,field.date.explanation,,ja_JP,"Visible from this date. Determines sort order in the blog list.",この日付から表示されます。ブログ一覧の並び順を決定します。,0,この日付から表示されます。ブログ一覧の並び順を決定します。
blog,field.date.label,,ja_JP,"Publish date",公開日,0,公開日
blog,field.description.explanation,,ja_JP,"Appears in the blog post list.",ブログ記事一覧に表示されます。,0,ブログ記事一覧に表示されます。
blog,field.description.label,,ja_JP,"Short description",短い説明,0,短い説明
blog,field.slug.explanation,,ja_JP,"Lowercase letters, numbers, and hyphens only. Must be unique.",小文字、数字、ハイフンのみ使用可。一意である必要があります。,0,小文字、数字、ハイフンのみ使用可。一意である必要があります。
blog,field.slug.label,,ja_JP,Slug,スラッグ,0,スラッグ
blog,field.title.explanation,,ja_JP,"Unique title for this post",この記事の一意のタイトル,0,この記事の一意のタイトル
blog,field.title.label,,ja_JP,Title,タイトル,0,タイトル
blog,form.name,,ja_JP,"Blog post",ブログ記事,0,ブログ記事
blog,form.title_create,,ja_JP,"New blog post",新しいブログ記事,0,新しいブログ記事
blog,form.title_edit,,ja_JP,"Edit blog post",ブログ記事を編集,0,ブログ記事を編集
blog,list.new,,ja_JP,"New post",新しい記事,0,新しい記事
blog,list.title,,ja_JP,"Blog posts",ブログ記事,0,ブログ記事
blog,not_found,,ja_JP,"Blog post not found",ブログ記事が見つかりません,0,ブログ記事が見つかりません
blog,saved,,ja_JP,"Post saved",記事を保存しました,0,記事を保存しました
blog,updated,,ja_JP,"Post updated",記事を更新しました,0,記事を更新しました
blog,validation.slug_format,,ja_JP,"Slug can only contain lowercase letters, numbers, and hyphens",スラッグには小文字、数字、ハイフンのみ使用できます,0,スラッグには小文字、数字、ハイフンのみ使用できます
