domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,fr_FR,"Error: Unable to save post","Erreur : Impossible d'enregistrer le billet",0,"Erreur : Impossible d'enregistrer le billet"
blog,field.body.explanation,,fr_FR,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","Formatez librement le texte, ajoutez des images et intégrez du contenu externe. Utilisez la vue HTML pour les codes d'intégration.",0,"Formatez librement le texte, ajoutez des images et intégrez du contenu externe. Utilisez la vue HTML pour les codes d'intégration."
blog,field.body.label,,fr_FR,Content,Contenu,0,Contenu
blog,field.date.explanation,,fr_FR,"Visible from this date. Determines sort order in the blog list.","Visible à partir de cette date. Détermine l'ordre de tri dans la liste du blog.",0,"Visible à partir de cette date. Détermine l'ordre de tri dans la liste du blog."
blog,field.date.label,,fr_FR,"Publish date","Date de publication",0,"Date de publication"
blog,field.description.explanation,,fr_FR,"Appears in the blog post list.","Apparaît dans la liste des billets de blog.",0,"Apparaît dans la liste des billets de blog."
blog,field.description.label,,fr_FR,"Short description","Brève description",0,"Brève description"
blog,field.slug.explanation,,fr_FR,"Lowercase letters, numbers, and hyphens only. Must be unique.","Lettres minuscules, chiffres et tirets uniquement. Doit être unique.",0,"Lettres minuscules, chiffres et tirets uniquement. Doit être unique."
blog,field.slug.label,,fr_FR,Slug,Slug,0,Slug
blog,field.title.explanation,,fr_FR,"Unique title for this post","Titre unique pour ce billet",0,"Titre unique pour ce billet"
blog,field.title.label,,fr_FR,Title,Titre,0,Titre
blog,form.name,,fr_FR,"Blog post","Billet de blog",0,"Billet de blog"
blog,form.title_create,,fr_FR,"New blog post","Nouveau billet de blog",0,"Nouveau billet de blog"
blog,form.title_edit,,fr_FR,"Edit blog post","Modifier le billet de blog",0,"Modifier le billet de blog"
blog,list.new,,fr_FR,"New post","Nouveau billet",0,"Nouveau billet"
blog,list.title,,fr_FR,"Blog posts","Billets de blog",0,"Billets de blog"
blog,not_found,,fr_FR,"Blog post not found","Billet de blog introuvable",0,"Billet de blog introuvable"
blog,saved,,fr_FR,"Post saved","Billet enregistré",0,"Billet enregistré"
blog,updated,,fr_FR,"Post updated","Billet mis à jour",0,"Billet mis à jour"
blog,validation.slug_format,,fr_FR,"Slug can only contain lowercase letters, numbers, and hyphens","Le slug ne peut contenir que des lettres minuscules, des chiffres et des tirets",0,"Le slug ne peut contenir que des lettres minuscules, des chiffres et des tirets"
