domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,pt_BR,"Error: Unable to save post","Erro: Não foi possível salvar a publicação",0,"Erro: Não foi possível salvar a publicação"
blog,field.body.explanation,,pt_BR,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","Formate o texto livremente, adicione imagens e incorpore conteúdo externo. Use a visualização HTML para códigos de incorporação.",0,"Formate o texto livremente, adicione imagens e incorpore conteúdo externo. Use a visualização HTML para códigos de incorporação."
blog,field.body.label,,pt_BR,Content,Conteúdo,0,Conteúdo
blog,field.date.explanation,,pt_BR,"Visible from this date. Determines sort order in the blog list.","Visível a partir desta data. Determina a ordem de classificação na lista do blog.",0,"Visível a partir desta data. Determina a ordem de classificação na lista do blog."
blog,field.date.label,,pt_BR,"Publish date","Data de publicação",0,"Data de publicação"
blog,field.description.explanation,,pt_BR,"Appears in the blog post list.","Aparece na lista de publicações do blog.",0,"Aparece na lista de publicações do blog."
blog,field.description.label,,pt_BR,"Short description","Descrição breve",0,"Descrição breve"
blog,field.slug.explanation,,pt_BR,"Lowercase letters, numbers, and hyphens only. Must be unique.","Apenas letras minúsculas, números e hifens. Deve ser único.",0,"Apenas letras minúsculas, números e hifens. Deve ser único."
blog,field.slug.label,,pt_BR,Slug,Slug,0,Slug
blog,field.title.explanation,,pt_BR,"Unique title for this post","Título único para esta publicação",0,"Título único para esta publicação"
blog,field.title.label,,pt_BR,Title,Título,0,Título
blog,form.name,,pt_BR,"Blog post","Publicação do blog",0,"Publicação do blog"
blog,form.title_create,,pt_BR,"New blog post","Nova publicação do blog",0,"Nova publicação do blog"
blog,form.title_edit,,pt_BR,"Edit blog post","Editar publicação do blog",0,"Editar publicação do blog"
blog,list.new,,pt_BR,"New post","Nova publicação",0,"Nova publicação"
blog,list.title,,pt_BR,"Blog posts","Publicações do blog",0,"Publicações do blog"
blog,not_found,,pt_BR,"Blog post not found","Publicação do blog não encontrada",0,"Publicação do blog não encontrada"
blog,saved,,pt_BR,"Post saved","Publicação salva",0,"Publicação salva"
blog,updated,,pt_BR,"Post updated","Publicação atualizada",0,"Publicação atualizada"
blog,validation.slug_format,,pt_BR,"Slug can only contain lowercase letters, numbers, and hyphens","O slug só pode conter letras minúsculas, números e hifens",0,"O slug só pode conter letras minúsculas, números e hifens"
