domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,ru_RU,"Are you sure you want to delete the active time entry?","Вы уверены, что хотите удалить активную запись времени?",0,"Вы уверены, что хотите удалить активную запись времени?"
timetracker,control.cancel_title,,ru_RU,"Delete time entry","Удалить запись времени",0,"Удалить запись времени"
timetracker,control.start,,ru_RU,Start,Начало,0,Начало
timetracker,control.stop,,ru_RU,Stop,Стоп,0,Стоп
timetracker,control.ticket_placeholder,,ru_RU,"Select a ticket or enter a new title","Выберите тикет или введите новый заголовок",0,"Выберите тикет или введите новый заголовок"
timetracker,control.title,,ru_RU,"What are you working on?","Над чем вы работаете?",0,"Над чем вы работаете?"
timetracker,delete_confirm,,ru_RU,"Are you sure you want to delete this time entry?","Вы уверены, что хотите удалить эту запись времени?",0,"Вы уверены, что хотите удалить эту запись времени?"
timetracker,deleted,,ru_RU,"Time entry deleted","Запись времени удалена",0,"Запись времени удалена"
timetracker,duration.hour,,ru_RU,hour,час,0,час
timetracker,duration.less_than_one_minute,,ru_RU,"<1 minute","<1 минуты",0,"<1 минуты"
timetracker,duration.minute,,ru_RU,minute,минута,0,минута
timetracker,error_save,,ru_RU,"Error: Unable to save time entry","Ошибка: не удалось сохранить запись времени",0,"Ошибка: не удалось сохранить запись времени"
timetracker,field.date.explanation,,ru_RU,"Start time in YYYY-MM-DD HH:mm format","Время начала в формате YYYY-MM-DD HH:mm",0,"Время начала в формате YYYY-MM-DD HH:mm"
timetracker,field.date.label,,ru_RU,Date,Дата,0,Дата
timetracker,field.description.explanation,,ru_RU,"Enter a brief description","Введите краткое описание",0,"Введите краткое описание"
timetracker,field.description.label,,ru_RU,Description,Описание,0,Описание
timetracker,field.hours.explanation,,ru_RU,"End time in YYYY-MM-DD HH:mm format","Время окончания в формате YYYY-MM-DD HH:mm",0,"Время окончания в формате YYYY-MM-DD HH:mm"
timetracker,field.hours.label,,ru_RU,Hours,Часы,0,Часы
timetracker,field.ticket_id.label,,ru_RU,"Ticket ID","ID тикета",0,"ID тикета"
timetracker,field.ticket.explanation,,ru_RU,"Select a ticket or enter a new name","Выберите тикет или введите новое имя",0,"Выберите тикет или введите новое имя"
timetracker,field.ticket.label,,ru_RU,Ticket,Тикет,0,Тикет
timetracker,field.user.explanation,,ru_RU,"Enter the username for this time entry","Введите имя пользователя для этой записи времени",0,"Введите имя пользователя для этой записи времени"
timetracker,form.name,,ru_RU,"Time entry","Запись времени",0,"Запись времени"
timetracker,form.title_create,,ru_RU,"New time entry","Новая запись времени",0,"Новая запись времени"
timetracker,form.title_edit,,ru_RU,"Edit time entry","Редактировать запись времени",0,"Редактировать запись времени"
timetracker,list.duration,,ru_RU,Duration,Длительность,0,Длительность
timetracker,list.end_time,,ru_RU,End,Конец,0,Конец
timetracker,list.start_time,,ru_RU,Start,Начало,0,Начало
timetracker,list.title,,ru_RU,"Time tracking","Учёт времени",0,"Учёт времени"
timetracker,saved,,ru_RU,"Time entry saved","Запись времени сохранена",0,"Запись времени сохранена"
timetracker,updated,,ru_RU,"Time entry updated","Запись времени обновлена",0,"Запись времени обновлена"
timetracker,validation.description_max_length,,ru_RU,"Description must not exceed 255 characters","Описание не должно превышать 255 символов",0,"Описание не должно превышать 255 символов"
timetracker,validation.ticket_max_length,,ru_RU,"Ticket name must not exceed 255 characters","Название тикета не должно превышать 255 символов",0,"Название тикета не должно превышать 255 символов"
