domain,key,context,locale,source_text,expected_text,human_reviewed,text
timetracker,control.cancel_confirm,,pt_BR,"Are you sure you want to delete the active time entry?","Tem certeza de que deseja excluir o registro de tempo ativo?",0,"Tem certeza de que deseja excluir o registro de tempo ativo?"
timetracker,control.cancel_title,,pt_BR,"Delete time entry","Excluir registro de tempo",0,"Excluir registro de tempo"
timetracker,control.start,,pt_BR,Start,Início,0,Início
timetracker,control.stop,,pt_BR,Stop,Parar,0,Parar
timetracker,control.ticket_placeholder,,pt_BR,"Select a ticket or enter a new title","Selecione um ticket ou insira um novo título",0,"Selecione um ticket ou insira um novo título"
timetracker,control.title,,pt_BR,"What are you working on?","No que você está trabalhando?",0,"No que você está trabalhando?"
timetracker,delete_confirm,,pt_BR,"Are you sure you want to delete this time entry?","Tem certeza de que deseja excluir este registro de tempo?",0,"Tem certeza de que deseja excluir este registro de tempo?"
timetracker,deleted,,pt_BR,"Time entry deleted","Registro de tempo excluído",0,"Registro de tempo excluído"
timetracker,duration.hour,,pt_BR,hour,hora,0,hora
timetracker,duration.less_than_one_minute,,pt_BR,"<1 minute","<1 minuto",0,"<1 minuto"
timetracker,duration.minute,,pt_BR,minute,minuto,0,minuto
timetracker,error_save,,pt_BR,"Error: Unable to save time entry","Erro: Não foi possível salvar o registro de tempo",0,"Erro: Não foi possível salvar o registro de tempo"
timetracker,field.date.explanation,,pt_BR,"Start time in YYYY-MM-DD HH:mm format","Hora de início no formato AAAA-MM-DD HH:mm",0,"Hora de início no formato AAAA-MM-DD HH:mm"
timetracker,field.date.label,,pt_BR,Date,Data,0,Data
timetracker,field.description.explanation,,pt_BR,"Enter a brief description","Insira uma breve descrição",0,"Insira uma breve descrição"
timetracker,field.description.label,,pt_BR,Description,Descrição,0,Descrição
timetracker,field.hours.explanation,,pt_BR,"End time in YYYY-MM-DD HH:mm format","Hora de término no formato AAAA-MM-DD HH:mm",0,"Hora de término no formato AAAA-MM-DD HH:mm"
timetracker,field.hours.label,,pt_BR,Hours,Horas,0,Horas
timetracker,field.ticket_id.label,,pt_BR,"Ticket ID","ID do ticket",0,"ID do ticket"
timetracker,field.ticket.explanation,,pt_BR,"Select a ticket or enter a new name","Selecione um ticket ou insira um novo nome",0,"Selecione um ticket ou insira um novo nome"
timetracker,field.ticket.label,,pt_BR,Ticket,Ticket,0,Ticket
timetracker,field.user.explanation,,pt_BR,"Enter the username for this time entry","Insira o nome de usuário para este registro de tempo",0,"Insira o nome de usuário para este registro de tempo"
timetracker,form.name,,pt_BR,"Time entry","Registro de tempo",0,"Registro de tempo"
timetracker,form.title_create,,pt_BR,"New time entry","Novo registro de tempo",0,"Novo registro de tempo"
timetracker,form.title_edit,,pt_BR,"Edit time entry","Editar registro de tempo",0,"Editar registro de tempo"
timetracker,list.duration,,pt_BR,Duration,Duração,0,Duração
timetracker,list.end_time,,pt_BR,End,Fim,0,Fim
timetracker,list.start_time,,pt_BR,Start,Início,0,Início
timetracker,list.title,,pt_BR,"Time tracking","Controle de tempo",0,"Controle de tempo"
timetracker,saved,,pt_BR,"Time entry saved","Registro de tempo salvo",0,"Registro de tempo salvo"
timetracker,updated,,pt_BR,"Time entry updated","Registro de tempo atualizado",0,"Registro de tempo atualizado"
timetracker,validation.description_max_length,,pt_BR,"Description must not exceed 255 characters","A descrição não deve ultrapassar 255 caracteres",0,"A descrição não deve ultrapassar 255 caracteres"
timetracker,validation.ticket_max_length,,pt_BR,"Ticket name must not exceed 255 characters","O nome do ticket não deve ultrapassar 255 caracteres",0,"O nome do ticket não deve ultrapassar 255 caracteres"
