domain,key,context,locale,source_text,expected_text,human_reviewed,text
blog,error_save,,de_DE,"Error: Unable to save post","Fehler: Beitrag konnte nicht gespeichert werden",0,"Fehler: Beitrag konnte nicht gespeichert werden"
blog,field.body.explanation,,de_DE,"Format text freely, add images, and embed external content. Use HTML view for embed codes.","Text frei formatieren, Bilder hinzufügen und externe Inhalte einbetten. HTML-Ansicht für Einbettungscodes verwenden.",0,"Text frei formatieren, Bilder hinzufügen und externe Inhalte einbetten. HTML-Ansicht für Einbettungscodes verwenden."
blog,field.body.label,,de_DE,Content,Inhalt,0,Inhalt
blog,field.date.explanation,,de_DE,"Visible from this date. Determines sort order in the blog list.","Ab diesem Datum sichtbar. Bestimmt die Sortierreihenfolge in der Blogliste.",0,"Ab diesem Datum sichtbar. Bestimmt die Sortierreihenfolge in der Blogliste."
blog,field.date.label,,de_DE,"Publish date",Veröffentlichungsdatum,0,Veröffentlichungsdatum
blog,field.description.explanation,,de_DE,"Appears in the blog post list.","Erscheint in der Blogbeitragsliste.",0,"Erscheint in der Blogbeitragsliste."
blog,field.description.label,,de_DE,"Short description",Kurzbeschreibung,0,Kurzbeschreibung
blog,field.slug.explanation,,de_DE,"Lowercase letters, numbers, and hyphens only. Must be unique.","Nur Kleinbuchstaben, Zahlen und Bindestriche. Muss eindeutig sein.",0,"Nur Kleinbuchstaben, Zahlen und Bindestriche. Muss eindeutig sein."
blog,field.slug.label,,de_DE,Slug,Slug,0,Slug
blog,field.title.explanation,,de_DE,"Unique title for this post","Eindeutiger Titel für diesen Beitrag",0,"Eindeutiger Titel für diesen Beitrag"
blog,field.title.label,,de_DE,Title,Titel,0,Titel
blog,form.name,,de_DE,"Blog post",Blogbeitrag,0,Blogbeitrag
blog,form.title_create,,de_DE,"New blog post","Neuer Blogbeitrag",0,"Neuer Blogbeitrag"
blog,form.title_edit,,de_DE,"Edit blog post","Blogbeitrag bearbeiten",0,"Blogbeitrag bearbeiten"
blog,list.new,,de_DE,"New post","Neuer Beitrag",0,"Neuer Beitrag"
blog,list.title,,de_DE,"Blog posts",Blogbeiträge,0,Blogbeiträge
blog,not_found,,de_DE,"Blog post not found","Blogbeitrag nicht gefunden",0,"Blogbeitrag nicht gefunden"
blog,saved,,de_DE,"Post saved","Beitrag gespeichert",0,"Beitrag gespeichert"
blog,updated,,de_DE,"Post updated","Beitrag aktualisiert",0,"Beitrag aktualisiert"
blog,validation.slug_format,,de_DE,"Slug can only contain lowercase letters, numbers, and hyphens","Slug kann nur Kleinbuchstaben, Zahlen und Bindestriche enthalten",0,"Slug kann nur Kleinbuchstaben, Zahlen und Bindestriche enthalten"
